Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Beckenham Junction,537403,169840,51.41094164,-0.02570173915,4,BR3 1HY
Beckenham Road,536177,169650,51.40952975,-0.04339192208,"3,4,5,6",BR3 4RR
Beckton,543145,181509,51.51437663,0.06152529693,3,E6 5NT
Beckton Park,542697,180887,51.50890079,0.05482193886,3,E6 5NE
Becontree,547598,184442,51.53958541,0.1268802917,5,RM9 4TP
Beddington Lane,529367,167215,51.38923988,-0.1421384344,"3,4,5,6",CR0 4TF
Belgrave Walk,526805,168455,51.40096165,-0.1784964741,"3,4,5,6",CR4 4NY
Bellingham,537702,172399,51.43386489,-0.02041177032,3,SE6 3BT
Belmont,525500,162098,51.34411992,-0.1994892532,5,SM2 6BH
Belsize Park,527399,185075,51.55019088,-0.1639744926,2,NW3 2AL
Belvedere,549498,179197,51.491959,0.1520337919,5,DA17 6JW
Bermondsey,534461,179445,51.49796078,-0.06433009005,2,SE16 4RX
Berrylands,519728,168040,51.39876841,-0.2803214775,5,KT5 8LT
Bethnal Green,534995,182712,51.52719174,-0.05539211162,2,E2 0ET
Bethnal Green Rail,534683,182380,51.52428274,-0.0600137426,2,E2 6JL
Bexley,549399,173502,51.44081453,0.148203913,6,DA5 1AQ
Bexleyheath,548294,176000,51.46354996,0.133362965,5,DA7 4AA
Bickley,542304,168799,51.40037957,0.04430403158,5,BR1 2EB
Birkbeck,535297,168996,51.40386309,-0.05628623572,4,BR3 4TA
Blackfriars,531738,180890,51.51158693,-0.1029953852,1,EC4V 4DD
Blackheath,539604,175961,51.46540801,0.008336594708,3,SE3 9LE
Blackhorse Lane,534362,166844,51.38474618,-0.0705339479,"3,4,5,6",CR0 6NL
Blackhorse Road,535914,189256,51.58577663,-0.03962571155,3,E17 6JJ
Blackwall,538394,180649,51.50783154,-0.00723516588,2,E14 9QB
Bond Street,528497,181053,51.51379752,-0.1496136098,1,W1C 2HU
Borough,532379,179734,51.50104887,-0.09419732315,1,SE1 1JX
Boston Manor,516391,178755,51.49576554,-0.3247471888,4,TW8 9LQ
Bounds Green,529996,191466,51.60703192,-0.1241770656,"3,4",N11 2EU
Bow Church,537414,182824,51.5276152,-0.0204998992,2,E3 3AA
Bow Road,537148,182753,51.52704181,-0.02435959067,2,E3 4DH
Bowes Park,530299,191498,51.60724951,-0.1197922192,"3,4",N22 8NL
Brent Cross,523905,187927,51.57659922,-0.2133358405,3,NW11 9UA
Brentford,517462,177864,51.48753631,-0.3096225367,4,TW8 9LF
Brentwood,559321,193036,51.61361034,0.2996728162,7,CM14 4EW
Brimsdown,536297,196997,51.65524461,-0.03109227694,5,EN3 7NA
Brixton,531076,175437,51.4627368,-0.1145520976,2,SW9 8HE
Brockley,536405,175801,51.46474966,-0.03774825055,2,SE4 2RW
Bromley North,540395,169699,51.40894231,0.01723545194,4,BR1 3NN
Bromley South,540431,168705,51.40000129,0.01735958048,5,BR1 1LX
Bromley-by-Bow,538034,182532,51.5248402,-0.01168237436,"2,3",E3 3BT
Brondesbury,524718,184460,51.54526236,-0.2028384857,2,NW6 7QL
Brondesbury Park,524202,183898,51.54032537,-0.2104739467,2,NW6 6RP
Broxbourne,537407,207240,51.74701557,-0.01102408379,9,EN10 7AW
Bruce Grove,533758,190115,51.59401125,-0.07039898965,3,N17 8AD
Buckhurst Hill,541768,193957,51.62657666,0.0467125413,5,IG9 5ET
Burnt Oak,520303,190728,51.60255191,-0.2643307123,4,HA8 0LA
Bush Hill Park,533696,195396,51.64148196,-0.0692804125,5,EN1 1BA
Bushey,511860,195318,51.64554416,-0.3847215414,8,WD19 4ST
Caledonian Road,530568,184899,51.54788544,-0.1183608619,2,N7 9BA
Caledonian Road and Barnsbury,530800,184393,51.54328458,-0.1152048567,2,N1 0SL
Cambridge Heath,534855,183250,51.53205976,-0.05720320082,2,E2 7NA
Camden Road,529140,184191,51.54185123,-0.1392031125,2,NW1 9LQ
Camden Town,528920,183976,51.53996935,-0.1424523811,2,NW1 8NH
Canada Water,535399,179493,51.49816841,-0.050807121,2,SE16 7BB
Canary Wharf,537558,180153,51.5035784,-0.01946684016,2,E14 4QS
Canning Town,539454,181350,51.51387029,0.008305632744,3,E16 1DQ
Cannon Street,532623,180888,51.51136209,-0.09025052688,1,EC4N 6AP
Canonbury,532355,184979,51.54818839,-0.09257419582,2,N1 2PG
Canons Park,518208,191246,51.60765057,-0.2943915965,5,HA8 6RN
Carpenders Park,511826,193386,51.62818672,-0.3858293238,7,WD19 7DT
Carshalton,527737,164858,51.36842637,-0.166398328,5,SM5 2HT
Carshalton Beeches,527552,163625,51.35738684,-0.1694963261,5,SM5 3LG
Castle Bar Park,515853,181770,51.52297367,-0.3315040763,4,W7 1AY
Caterham,534099,155422,51.28216282,-0.07860729857,6,CR3 6LB
Catford,537245,173544,51.44426491,-0.0265384986,3,SE6 4XT
Catford Bridge,537363,173595,51.44469463,-0.02482187594,3,SE6 4RE
Centrale,532067,165785,51.37576747,-0.1038881038,"3,4,5,6",CR0 1XT
Chadwell Heath,547646,187611,51.56804688,0.1289011116,5,RM6 4BE
Chafford Hundred,558922,178770,51.4855545,0.2874757007,7,RM16 6QQ
Chalfont and Latimer,499610,197550,51.66790748,-0.5610677773,8,HP7 9PR
Chalk Farm,528126,184421,51.54414909,-0.1537330709,2,NW3 2BP
Chancery Lane,531096,181642,51.51849402,-0.1119620275,1,WC1V 6DR
Charing Cross,530234,180492,51.50835863,-0.1248029381,1,WC2N 5HS
Charlton,541108,178387,51.48683499,0.0309416448,3,SE7 7AB
Cheam,524444,163334,51.35546024,-0.2142112836,5,SM3 8RZ
Chelsfield,546944,164021,51.35626458,0.1089841197,6,BR6 6EU
Chesham,496048,201650,51.70538002,-0.6114296571,9,HP5 1DH
Cheshunt,536652,202307,51.70287331,-0.02388741546,8,EN8 9AQ
Chessington North,518415,164168,51.36424344,-0.3004761289,6,KT9 2RT
Chessington South,517974,163319,51.35670453,-0.3070890207,6,KT9 2DD
Chigwell,543835,193045,51.61785787,0.07617921501,4,IG7 6NT
Chingford,539173,194628,51.63325337,0.009514325525,5,E4 6AL
Chipstead,527689,158275,51.30927498,-0.1694458695,6,CR5 3TD
Chislehurst,543205,169405,51.40559841,0.05749182145,5,BR7 5NN
Chiswick,520438,177182,51.48078149,-0.2670133219,3,W4 2QE
Chiswick Park,520352,178692,51.49437071,-0.2677369222,3,W4 5NE
Chorleywood,502596,196092,51.65426593,-0.5183339265,7,WD3 5ND
Church Street,532041,165555,51.37370656,-0.1043468289,"3,4,5,6",CR0 1RN
City Thameslink,531688,181150,51.51393507,-0.1036184492,1,EC4M 7JH
Clapham Common,529428,175291,51.46180367,-0.1383149025,2,SW4 7AJ
Clapham High Street,529824,175709,51.46546951,-0.1324645026,2,SW4 6DQ
Clapham Junction,527198,175520,51.46436678,-0.1703150022,2,SW11 2QP
Clapham North,530003,175652,51.46491621,-0.1299100629,2,SW4 7TS
Clapham South,528782,174259,51.45267649,-0.1479840696,"2,3",SW12 9DU
Clapton,534748,186531,51.56156909,-0.05748945845,2,E5 9JP
Clock House,536367,169545,51.40854056,-0.04070209259,4,BR3 4PR
Cockfosters,528087,196424,51.65202448,-0.1499167111,5,EN4 0DZ
Colindale,521295,189937,51.59523052,-0.2502875437,4,NW9 5HR
Colliers Wood,526831,170436,51.41875919,-0.1774150999,3,SW19 2HR
Coombe Lane,535201,164089,51.35978931,-0.05953157132,"3,4,5,6",CR0 5RF
Coulsdon South,529869,159056,51.31580094,-0.1379030903,6,CR5 3EA
Coulsdon Town,530098,159802,51.32245295,-0.1343470573,6,CR5 2JA
Covent Garden,530242,180982,51.51276023,-0.1245068946,1,WC2E 9JT
Crayford,551479,174424,51.44854676,0.1785027163,6,DA1 3PY
Crews Hill,530973,200109,51.68447461,-0.1068441008,6,EN2 8AY
Cricklewood,524009,185907,51.55842267,-0.2125479341,3,NW2 1HL
Crofton Park,536517,174739,51.45517929,-0.03654658184,3,SE4 2RA
Crossharbour and London Arena,537896,179301,51.49583998,-0.0149328131,2,E14 8AD
Crouch Hill,530586,187508,51.5713271,-0.1171332849,3,N4 4AU
Croxley,507921,195395,51.64700528,-0.4416037983,7,WD3 3DY
Crystal Palace,534120,170557,51.41817035,-0.07260723276,"3,4",SE19 2AZ
Custom House,540679,180911,51.50962206,0.02577251026,3,E16 3BX
Cutty Sark for Maritime Greenwich,538240,177764,51.48194447,-0.01058186673,2,SE10 9SW
Cyprus,543324,180863,51.50852658,0.06384075583,3,E6 5PH
Dagenham Dock,548900,183000,51.5262872,0.145031014,5,RM9 6RA
Dagenham East,550284,185033,51.54418734,0.1658334317,5,RM10 8AA
Dagenham Heathway,549035,184665,51.54121179,0.1476797202,5,RM9 5AN
Dalston Junction,533580,184778,51.54609372,-0.07499420482,2,E8 3DL
Dalston Kingsland,533487,185062,51.54866782,-0.07622692195,2,E8 2JS
Debden,544275,196133,51.645492,0.08380147484,6,IG10 3TG
Denmark Hill,532697,176087,51.46820064,-0.09098786958,2,SE5 8BB
Deptford,537165,177395,51.47889008,-0.02619631957,2,SE8 3NU
Deptford Bridge,537466,176912,51.47447677,-0.0220524288,"2,3",SE10 8BU
Devons Road,537603,182233,51.52225847,-0.01800775419,2,E3 3QX
Dollis Hill,522207,185132,51.55185059,-0.2387977617,3,NW10 5NB
Drayton Green,516002,180998,51.51600468,-0.3296112597,4,W13 0JX
Drayton Park,531426,185499,51.55307831,-0.1057701997,2,N5 1NT
Dundonald Road,524741,170233,51.41739815,-0.2075271127,"3,4,5,6",SW19 3QJ
Ealing Broadway,517920,180915,51.51486197,-0.3020103814,3,W5 2NU
Ealing Common,518963,180426,51.51024866,-0.2871514179,3,W5 3LD
Earls Court,525457,178480,51.49135667,-0.1943138093,"1,2",SW5 9QA
Earlsfield,526081,173030,51.44223881,-0.1872726886,3,SW18 4SW
East Acton,521656,181159,51.51626341,-0.2481122249,2,W12 0BP
East Croydon,532904,165801,51.3757161,-0.09186349602,5,CR0 1LF
East Dulwich,533449,175375,51.46162558,-0.0804365715,2,SE22 8EF
East Finchley,527242,189204,51.58733254,-0.164743886,3,N2 0NW
East Ham,542373,184255,51.53924616,0.05151629332,"3,4",E6 2JA
East India,538729,180753,51.50868401,-0.002370331549,"2,3",E14 9PS
East Putney,524387,174840,51.45887978,-0.2109982342,"2,3",SW15 6SN
Eastcote,511191,187627,51.57655182,-0.3968232993,5,HA5 1QZ
Eden Park,537396,167598,51.3907961,-0.02666971555,5,BR3 3HQ
Edgware,519527,192009,51.61422962,-0.2750936665,5,HA8 7AW
Edgware Road (Bakerloo),527026,181778,51.52064536,-0.1705395516,1,W2 1DY
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.51999804,-0.1676682543,1,NW1 5DH
Edmonton Green,534273,193590,51.6251157,-0.06163901945,4,N9 9DX
Elephant and Castle,531940,179144,51.49584938,-0.1007387148,"1,2",SE1 6LW
Elm Park,552446,185647,51.54912458,0.197252682,6,RM12 4RW
Elmers End,535788,168389,51.39829111,-0.04946383228,4,BR3 4EJ
Elmstead Woods,542247,170656,51.41708063,0.04422934272,4,BR7 5EW
Elstree and Borehamwood,519098,196299,51.65287558,-0.2798286195,6,WD6 3LS
Eltham,542690,174962,51.45566222,0.05232930773,4,SE9 6UB
Elverson Road,537848,176243,51.46837219,-0.01681637621,"2,3",SE8 4LA
Embankment,530406,180380,51.50731249,-0.1223673365,1,WC2N 6NS
Emerson Park,553971,187918,51.56911491,0.2202229343,6,RM11 2JR
Enfield Chase,532181,196607,51.65272211,-0.09070420548,5,EN2 7AA
Enfield Lock,536437,198737,51.67084612,-0.02839107011,6,EN3 6BW
Enfield Town,532970,196544,51.65197007,-0.07932992209,5,EN1 1YB
Epping,546197,201552,51.69368617,0.1138255527,6,CM16 4HW
Epsom Downs,522805,159756,51.32365944,-0.2389702268,6,KT17 4JX
Erith,551075,178096,51.48164768,0.1742612892,6,DA8 1TY
Essex Road,532114,184132,51.54063331,-0.0963655259,2,N1 2SU
Euston,529587,182735,51.52866433,-0.1332964718,1,NW1 2DU
Euston Square,529587,182735,51.52866433,-0.1332964718,1,NW1 2BN
Ewell East,522571,162152,51.34524388,-0.2415030014,6,KT17 1QR
Ewell West,521473,162654,51.34999114,-0.257089133,6,KT17 1TU
Fairlop,544902,190655,51.59610954,0.09059327943,4,IG6 3HD
Falconwood,544498,175394,51.4590858,0.07850969301,4,SE9 2RN
Farringdon,531585,181844,51.52019569,-0.104843062,1,EC1M 6BY
Feltham,510601,173298,51.44787917,-0.409824481,6,TW13 4BY
Fenchurch Street,533434,180932,51.51156671,-0.07855415281,1,EC3M 4AJ
Fieldway,537665,163212,51.35131701,-0.02450326537,"3,4,5,6",CR0 0QA
Finchley Central,525232,190664,51.60090325,-0.1932206369,4,N3 2RY
Finchley Road,526293,184703,51.5470962,-0.1800505605,2,NW6 3BS
Finchley Road and Frognal,526035,185033,51.5501195,-0.1836512027,2,NW3 5HT
Finsbury Park,531385,186784,51.56463545,-0.1058814862,2,N4 3JU
Forest Gate,540447,185322,51.54931612,0.02418909151,3,E7 0QH
Forest Hill,535398,172943,51.43930831,-0.05332850441,3,SE23 3HD
Fulham Broadway,525402,177244,51.4802609,-0.1955441637,2,SW6 1BY
Fulwell,514832,171841,51.43394257,-0.3494385248,6,TW2 5NY
Gallions Reach,543873,180935,51.50903414,0.07177539442,3,E6 6FZ
Gants Hill,543266,188432,51.57655295,0.0660840978,4,IG2 6UD
George Street,532432,165594,51.37396606,-0.09871810522,"3,4,5,6",CRO 1LA
Gidea Park,552941,189306,51.58186575,0.2059769806,6,RM2 6BX
Gipsy Hill,533321,171237,51.42446952,-0.08383516752,3,SE19 1PL
Gloucester Road,526196,178848,51.49449956,-0.1835435595,1,SW7 4SF
Golders Green,525199,187471,51.57221553,-0.1948345591,3,NW11 7RN
Goldhawk Road,523131,179616,51.50207697,-0.2274040063,2,W12 8EG
Goodge Street,529505,181837,51.52061311,-0.1348076902,1,W1T 2HF
Goodmayes,546462,187369,51.56618098,0.1117296543,4,IG3 9UH
Gordon Hill,531889,197799,51.66350224,-0.09447329979,5,EN2 0QU
Gospel Oak,528263,185677,51.55540529,-0.1513010326,2,NW5 1LT
Grange Hill,544963,192590,51.61348043,0.09227252966,4,IG7 5QB
Grange Park,531753,195472,51.64262308,-0.0973144238,5,N21 1RE
Gravel Hill,536359,163536,51.35454326,-0.04312169875,"3,4,5,6",CR0 5BJ
Great Portland Street,528861,182174,51.5237888,-0.1439614253,1,W1W 5PP
Green Park,529012,180283,51.50676048,-0.1424775756,1,W1J 7BX
Greenford,514808,183861,51.54198007,-0.3458787401,4,UB6 8PR
Greenwich,537956,177267,51.47754766,-0.01486308361,"2,3",SE10 8JQ
Grove Park,540702,172099,51.43043264,0.02259850216,4,SE12 0PW
Gunnersbury,519843,178401,51.49186341,-0.2751641358,3,W4 5RP
Hackbridge,528582,165929,51.3778609,-0.1538791982,4,SM6 7BJ
Hackney Central,534922,184943,51.54725744,-0.05558951198,2,E8 1LL
Hackney Downs,534598,185137,51.54907809,-0.06018510506,2,E8 1LA
Hackney Wick,537036,184588,51.54355841,-0.02525950281,2,E9 5ER
Hadley Wood,526197,198199,51.66840287,-0.1765811896,6,EN4 0EJ
Haggerston,533560,183953,51.53868473,-0.07559525809,2,E8 4DY
Hainault,545124,191411,51.60284533,0.0941085503,4,IG6 3BD
Hammersmith (District),523474,178483,51.49181978,-0.2228609288,2,W6 9YA
Hammersmith (Met.),523346,178665,51.49348335,-0.2246401574,2,W6 0ED
Hampstead,526408,185757,51.5565426,-0.1780145599,2,NW3 1QG
Hampstead Heath,527344,185631,51.55519992,-0.1645661832,3,NW3 2QD
Hampton,513299,169797,51.41587955,-0.3721352537,6,TW12 2HU
Hampton Court,515376,168332,51.40229388,-0.3427571522,6,KT8 9AE
Hampton Wick,517407,169752,51.41464004,-0.3131036097,6,KT1 4DQ
Hanger Lane,518506,182621,51.53007203,-0.2929961456,3,W5 1DL
Hanwell,515426,180560,51.51218596,-0.3380518844,4,W7 3EB
Harlesden,520952,183367,51.53625833,-0.2574956742,3,NW10 8UT
Harold Wood,554858,190626,51.59320222,0.2342040734,6,RM3 0BL
Harringay,531395,188200,51.57735791,-0.1052082526,3,N4 1RW
Harringay Green Lanes,531880,188189,51.57714589,-0.09821739178,3,N4 2NU
Harrington Road,535002,168535,51.39979057,-0.06069995456,"3,4,5,6",SE25 4NF
Harrow and Wealdstone,515486,189508,51.59259463,-0.3342526851,5,HA3 7RF
Harrow-on-the-Hill,515329,188035,51.57938812,-0.3370015173,5,HA1 1BB
Hatch End,513024,191370,51.6098285,-0.369178781,6,HA5 5LZ
Hatton Cross,509614,175369,51.4666853,-0.4233805634,"5,6",TW6 3PF
Haydons Road,526012,171161,51.42545732,-0.1889293594,3,SW19 8SL
Hayes,540003,165993,51.37573671,0.01014265246,5,BR2 7EN
Hayes and Harlington,509717,179417,51.50304907,-0.4206419036,5,UB3 4BX
Headstone Lane,513892,190574,51.60249963,-0.3569075144,5,HA2 6NB
Heathrow Terminal 4,507939,174565,51.45978043,-0.44772959,6,TW6 3AA
Heathrow Terminal 5,504934,175642,51.47002543,-0.4906475032,6,TW6 2GA
Heathrow Terminals 1 2 3,507587,175838,51.4712894,-0.4524072256,6,TW6 1EB
Hendon,522143,188271,51.58007498,-0.2386305206,"3,4",NW4 4PT
Hendon Central,522959,188631,51.58313305,-0.2267341401,"3,4",NW4 3AS
Herne Hill,531934,174486,51.45399137,-0.1025629083,"2,3",SE24 0JW
Heron Quays,537386,180127,51.50338657,-0.02195353206,2,E14 4JH
High Barnet,525027,196310,51.65168825,-0.1941653802,5,EN5 5RP
High Street Kensington,525622,179527,51.50072945,-0.1915660576,1,W8 5SA
Highams Park,538581,191841,51.60835599,-0.0001352859195,4,E4 9LA
Highbury and Islington,531562,184770,51.54649551,-0.1040821399,2,N1 1SE
Highgate,528503,188158,51.57764662,-0.1469348622,3,N6 5BH
Hillingdon,507567,185015,51.55377752,-0.4498979934,6,UB10 9NR
Hither Green,538997,174497,51.45240172,-0.0009709123245,3,SE13 5NF
Holborn,530553,181488,51.51723574,-0.1198405074,1,WC2B 6AA
Holland Park,524564,180215,51.50714648,-0.2065577779,2,W11 3RB
Holloway Road,530930,185457,51.5528161,-0.112935697,2,N7 8HS
Homerton,536108,184901,51.54659545,-0.0385123471,2,E9 5SD
Honor Oak Park,536002,174221,51.45064824,-0.04415312114,3,SE23 3LE
Hornchurch,553931,186274,51.55435511,0.2189269966,6,RM12 6LS
Hornsey,530911,189202,51.58647485,-0.1118156381,3,N8 8SE
Hounslow,513902,174998,51.46250482,-0.361796256,5,TW3 3DL
Hounslow Central,513592,175928,51.47092577,-0.3659581292,4,TW3 1JG
Hounslow East,514327,176254,51.47370789,-0.3552753219,4,TW3 4AB
Hounslow West,512215,176140,51.47310572,-0.3857076287,5,TW3 3DH
Hoxton,533582,183142,51.53139161,-0.0755856472,"1,2",E2 8HR
Hyde Park Corner,528330,179801,51.50258401,-0.152474114,1,SW1X 7LY
Ickenham,508127,185811,51.56082505,-0.4415795126,6,UB10 8PD
Ilford,543501,186501,51.55914224,0.0686851909,4,IG1 4DU
Imperial Wharf,526299,176674,51.47493893,-0.1828375047,2,SW6 2HA
Island Gardens,538228,178432,51.48795009,-0.01049330314,2,E14 3FA
Isleworth,515570,176430,51.47503742,-0.3373287651,4,TW7 4BX
Kenley,532400,160100,51.32460031,-0.1012197128,6,CR8 5JA
Kennington,531660,178337,51.48866246,-0.1050706134,2,SE11 4JQ
Kensal Green,523241,182784,51.53052421,-0.2247133841,2,NW10 5JT
Kensal Rise,523501,183201,51.53421506,-0.2208209787,2,NW10 3NT
Kensington (Olympia),524324,179178,51.4978797,-0.2103792423,2,W14 0NE
Kent House,535999,170000,51.41271766,-0.04581555318,4,BR3 1HY
Kentish Town,529029,185096,51.55000952,-0.1404712638,2,NW5 2AA
Kentish Town West,528603,184700,51.54654797,-0.1467564099,2,NW5 3LD
Kenton,516833,188304,51.58149628,-0.3152168666,4,HA3 0XS
Kew Bridge,518898,178172,51.49000462,-0.2888464947,3,TW8 0EF
Kew Gardens,519173,176708,51.47678914,-0.2853810114,"3,4",TW9 3PZ
Kidbrooke,540999,175697,51.46269019,0.02830023914,3,SE3 9NF
Kilburn,524589,184644,51.54694444,-0.2046327191,2,NW6 7QL
Kilburn High Road,525553,183591,51.53726774,-0.1911131057,2,NW6 7QL
Kilburn Park,525361,183349,51.53513554,-0.1939660571,2,NW6 5AD
King George V,543231,180135,51.50200861,0.06220621388,3,E16 2JF
King Henry's Drive,537978,162558,51.3453641,-0.02026475745,"3,4,5,6",CR0 0LH
King's Cross,530312,182991,51.53079819,-0.1227564214,1,N1 9AL
Kings Cross St. Pancras,530236,182935,51.53031246,-0.1238721296,1,N1 9AL
Kingsbury,519361,188739,51.58487652,-0.2786016082,4,NW9 9EG
Kingston,518244,169549,51.41264176,-0.3011410402,6,KT1 1UJ
Kingswood,524816,156585,51.29472314,-0.2112332261,6,KT20 6EN
Knightsbridge,527765,179650,51.5013549,-0.1606644861,1,SW3 1ED
Knockholt,548499,162896,51.34575194,0.1308310388,6,TN14 7HR
Ladbroke Grove,524284,181328,51.51721067,-0.2101981725,2,W10 6HJ
Ladywell,537716,174884,51.45619214,-0.01924440115,3,SE13 7XB
Lambeth North,531165,179489,51.49912995,-0.1117682612,1,SE1 7XG
Lancaster Gate,526711,180796,51.51189094,-0.1754299286,1,W2 4QH
Langdon Park,537807,181863,51.51888394,-0.01521379896,2,E14 6NW
Latimer Road,523789,180954,51.5139581,-0.2174596661,2,W10 6SZ
Lea Bridge,536175,187133,51.56663626,-0.03668315774,3,E10 7PG
Lebanon Road,533385,165756,51.375199,-0.08497364917,"3,4,5,6",CR0 6SF
Lee,540002,174197,51.44945852,0.01336469237,3,SE12 9JG
Leicester Square,529987,180812,51.51129118,-0.1282421476,1,WC2H 0AP
Lewisham,538163,175863,51.46488071,-0.01243270091,"2,3",SE13 7RY
Leyton,538295,186244,51.55813227,-0.006465331582,3,E10 5PS
Leyton Midland Road,538150,187490,51.56936424,-0.008066347433,3,E10 6JT
Leytonstone,539345,187429,51.56852229,0.009140451951,"3,4",E11 1HE
Leytonstone High Road,539298,186903,51.56380734,0.008254468831,3,E11 4RE
Limehouse,536150,181087,51.51231216,-0.03938007775,2,E14 7JD
Liverpool Street,533160,181596,51.51759826,-0.08224962228,1,EC2M 7PR
Lloyd Park,533711,164549,51.36427554,-0.08074627307,"3,4,5,6",CR0 5RA
London Bridge,532937,180152,51.50467435,-0.08600559817,1,SE1 2SW
London City Airport,542231,180294,51.50368966,0.04787271544,3,E16 2DS
London Fields,534795,184212,51.54071884,-0.05769968641,2,E8 3PH
Loughborough Junction,531902,175897,51.4666789,-0.1024973415,2,SW9 8SA
Loughton,542314,195641,51.64157048,0.0552790791,6,IG10 4PD
Lower Sydenham,536831,171372,51.42484684,-0.03333034154,4,SE26 5AU
Maida Vale,525967,182792,51.52999506,-0.1854326469,2,W9 1JS
Malden Manor,521101,166497,51.38460954,-0.2611204164,4,KT3 5PN
Manor House,532074,187482,51.57074714,-0.09568497626,"2,3",N4 1BZ
Manor Park,541929,185757,51.55285435,0.04572387006,"3,4",E12 5EP
Mansion House,532347,180962,51.51209175,-0.09419765775,1,EC4N 6JD
Marble Arch,527875,181056,51.51396549,-0.1585712162,1,W1C 2JS
Maryland,539175,184881,51.54566827,0.005681654182,3,E15 1SA
Marylebone,527510,181985,51.52239667,-0.1634925639,1,NW1 6JJ
Maze Hill,539194,177909,51.48301366,0.003204896818,3,SE10 9XG
Merton Park,525182,169798,51.41339161,-0.2013420312,"3,4,5,6",SW19 3HA
Mile End,536577,182545,51.52531097,-0.03266608433,2,E3 4DH
Mill Hill Broadway,521300,191900,51.61287113,-0.2495370685,4,NW7 2JU
Mill Hill East,524057,191460,51.60831664,-0.2098957129,4,NW7 1BS
Mitcham,527345,168082,51.39748861,-0.1708716472,"3,4,5,6",CR4 4BD
Mitcham Eastfields,528488,169323,51.40838391,-0.1540017188,3,CR4 2ND
Mitcham Junction,528292,167611,51.39304257,-0.1574366437,4,CR4 4HN
Monument,532907,180814,51.51063042,-0.08618831369,1,EC4R 9AA
Moor Park,508563,193509,51.62993067,-0.4329130274,"6,7",HA6 2JQ
Moorgate,532688,181677,51.51843714,-0.08901768788,1,EC2M 6TX
Morden,525664,168563,51.40218596,-0.1948519817,4,SM4 5AZ
Morden Road,525788,169310,51.40887189,-0.1928056773,"3,4,5,6",SW19 3BX
Morden South,525301,167900,51.3963077,-0.2003015621,4,SM4 5AN
Mornington Crescent,529193,183359,51.53436222,-0.1387443498,2,NW1 2JA
Mortlake,520458,175779,51.46816794,-0.2672033139,3,SW14 8LN
Motspur Park,522581,167724,51.39531963,-0.239439746,4,KT3 6JJ
Mottingham,542600,173197,51.43982498,0.05032420218,4,SE9 4EN
Mudchute,537908,178789,51.49123619,-0.01495994489,2,E14 9UW
